game,winrate,wins,losses,draws,loss,seconds
100,0.0,0,14,0,0.0195,210
200,32.14,3,8,3,0.0181,393
300,50.0,7,7,0,0.0267,584
400,7.14,0,12,2,0.0469,780
500,50.0,7,7,0,0.0433,1004
600,17.86,0,9,5,0.0756,1218
700,0.0,0,14,0,0.1003,1413
800,0.0,0,14,0,0.1213,1587
900,64.29,9,5,0,0.1457,1805
1000,42.86,1,3,10,0.1742,2010
1100,46.43,1,2,11,0.2185,2208
1200,28.57,0,6,8,0.23,2410
1300,71.43,7,1,6,0.2593,2630
1400,67.86,5,0,9,0.3907,2840
1500,92.86,12,0,2,0.3879,3077
1600,64.29,7,3,4,0.3516,3283
1700,100.0,14,0,0,0.3205,3479
1800,32.14,1,6,7,0.3318,3716
1900,50.0,7,7,0,0.3646,3921
2000,7.14,0,12,2,0.3489,4161
2100,42.86,0,2,12,0.3057,4415
2200,3.57,0,13,1,0.386,4599
2300,0.0,0,14,0,0.3193,4799
2400,21.43,0,8,6,0.3348,5047
2500,7.14,0,12,2,0.3437,5351
2600,25.0,0,7,7,0.3634,5561
2700,71.43,7,1,6,0.3652,5834
2800,10.71,0,11,3,0.3226,6023
2900,53.57,7,6,1,0.3522,6270
3000,25.0,0,7,7,0.3013,6484
3100,14.29,0,10,4,0.2633,6703
3200,3.57,0,13,1,0.3704,6906
3300,28.57,0,6,8,0.3747,7130
3400,21.43,0,8,6,0.3074,7342
3500,21.43,0,8,6,0.3363,7547
3600,10.71,0,11,3,0.3072,7767
3700,0.0,0,14,0,0.3457,8024
3800,3.57,0,13,1,0.293,8250
3900,3.57,0,13,1,0.2946,8455
4000,14.29,0,10,4,0.3566,8675
4100,17.86,0,9,5,0.3783,8974
